GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900139315.1	4211758	GCF_900139315.1	4233728	
GCA_900133675.1	4210638	GCF_900133675.1	4239748	
GCA_900139455.1	3869638	GCF_900139455.1	3891498	
GCA_900141525.1	3878238	GCF_900141525.1	3899678	
GCA_900133595.1	4212358	GCF_900133595.1	4235588	
GCA_900131535.1	4211798	GCF_900131535.1	4240308	
GCA_900140525.1	3873638	GCF_900140525.1	3899598	
GCA_900141105.1	3872898	GCF_900141105.1	3895018	
GCA_900133025.1	4213198	GCF_900133025.1	4241008	
GCA_900135015.1	3869458	GCF_900135015.1	3892618	
GCA_900135565.1	3868898	GCF_900135565.1	3892038	
GCA_900137115.1	4209298	GCF_900137115.1	4234228	
GCA_900135105.1	3870838	GCF_900135105.1	3892638	
GCA_900131525.1	4204638	GCF_900131525.1	4234648	
GCA_002801845.1	5689098	GCF_002801845.1	5694308	
GCA_900141305.1	3873538	GCF_900141305.1	3895238	
GCA_002800345.1	5687598	GCF_002800345.1	5692488	
GCA_002802775.1	5690038	GCF_002802775.1	5693968	
GCA_900135945.1	4204778	GCF_900135945.1	4235608	
GCA_900130245.1	3865978	GCF_900130245.1	3889598	
GCA_900135245.1	3867158	GCF_900135245.1	3890478	
GCA_900140805.1	4216498	GCF_900140805.1	4230768	
GCA_900134215.1	3874898	GCF_900134215.1	3896198	
GCA_900141035.1	3872958	GCF_900141035.1	3895618	
GCA_900137425.1	3876698	GCF_900137425.1	3897978	
GCA_900140485.1	4210338	GCF_900140485.1	4236808	
GCA_900138875.1	3871358	GCF_900138875.1	3893938	
GCA_002800715.1	5687968	GCF_002800715.1	5694428	
GCA_900136155.1	3876038	GCF_900136155.1	3896938	
GCA_900141235.1	3871858	GCF_900141235.1	3894518	
GCA_900136395.1	4215978	GCF_900136395.1	4242288	
GCA_900133145.1	4205258	GCF_900133145.1	4233788	
GCA_900132155.1	3866458	GCF_900132155.1	3889398	
GCA_900131605.1	3868238	GCF_900131605.1	3890798	
GCA_900133905.1	3871098	GCF_900133905.1	3893178	
GCA_900140335.1	4206058	GCF_900140335.1	4235748	
GCA_900132275.1	4217038	GCF_900132275.1	4238148	
GCA_900132865.1	3866578	GCF_900132865.1	3889338	
GCA_900132135.1	3868658	GCF_900132135.1	3891858	
