GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900136955.1	4213738	GCF_900136955.1	4232808	
GCA_900136985.1	4212058	GCF_900136985.1	4233748	
GCA_016758375.1	24735308	GCF_016758375.1	24759958	
GCA_900132205.1	3874238	GCF_900132205.1	3896078	
GCA_900138105.1	4212838	GCF_900138105.1	4235148	
GCA_900141645.1	3878298	GCF_900141645.1	3899318	
GCA_900141185.1	4216638	GCF_900141185.1	4238108	
GCA_900138205.1	4212178	GCF_900138205.1	4229028	
GCA_900137445.1	3876758	GCF_900137445.1	3898098	
GCA_900132605.1	3875178	GCF_900132605.1	3897158	
GCA_900138075.1	4216338	GCF_900138075.1	4230808	
GCA_900137065.1	4213058	GCF_900137065.1	4230988	
GCA_900137235.1	3877118	GCF_900137235.1	3897078	
GCA_000611915.1	996218	GCF_000611915.1	1084508	
GCA_900136015.1	3875858	GCF_900136015.1	3896758	
GCA_900131005.1	3874398	GCF_900131005.1	3897338	
GCA_900133515.1	3874258	GCF_900133515.1	3896738	
GCA_900136095.1	4205458	GCF_900136095.1	4235448	
GCA_900130695.1	3874098	GCF_900130695.1	3897918	
GCA_900136965.1	4205338	GCF_900136965.1	4234748	
GCA_900130725.1	3874418	GCF_900130725.1	3896098	
GCA_900135825.1	4213538	GCF_900135825.1	4232748	
GCA_900137265.1	3878158	GCF_900137265.1	3899358	
GCA_900141055.1	4216718	GCF_900141055.1	4230848	
GCA_900141685.1	4205438	GCF_900141685.1	4235408	
GCA_900683455.1	8659988	GCF_900683455.1	8779758	
GCA_017175695.1	25340628	GCF_017175695.1	25439348	
GCA_900135755.1	4211358	GCF_900135755.1	4238708	
GCA_900138825.1	3866918	GCF_900138825.1	3890638	
GCA_900133525.1	3874858	GCF_900133525.1	3897498	
GCA_900131485.1	3874958	GCF_900131485.1	3897358	
GCA_017176115.1	25341068	GCF_017176115.1	25443228	
GCA_900130685.1	4207218	GCF_900130685.1	4231828	
GCA_900131465.1	3874138	GCF_900131465.1	3895938	
GCA_017174915.1	25339778	GCF_017174915.1	25444068	
GCA_900135775.1	3874658	GCF_900135775.1	3897298	
GCA_900131495.1	4213018	GCF_900131495.1	4232628	
GCA_900135935.1	3875118	GCF_900135935.1	3896598	
GCA_900137595.1	3876898	GCF_900137595.1	3898018	
GCA_900133085.1	4209018	GCF_900133085.1	4236548	
GCA_900137765.1	3877418	GCF_900137765.1	3898498	
GCA_017175865.1	25340808	GCF_017175865.1	25445968	
GCA_900132195.1	4212118	GCF_900132195.1	4240468	
GCA_900135815.1	3873978	GCF_900135815.1	3895458	
GCA_900134615.1	4211878	GCF_900134615.1	4228988	
GCA_900138275.1	3877818	GCF_900138275.1	3898618	
GCA_900134185.1	4205538	GCF_900134185.1	4235508	
GCA_900134395.1	3875598	GCF_900134395.1	3896898	
GCA_016758395.1	24735328	GCF_016758395.1	24759978	
GCA_900131805.1	4206338	GCF_900131805.1	4237688	
GCA_900137055.1	3875078	GCF_900137055.1	3895958	
GCA_900131475.1	4209438	GCF_900131475.1	4228548	
GCA_900132935.1	3874738	GCF_900132935.1	3897418	
GCA_017175935.1	25340868	GCF_017175935.1	25445108	
GCA_016758435.1	24735388	GCF_016758435.1	24760218	
GCA_900133545.1	4295308	GCF_900133545.1	4304588	
GCA_900141385.1	4217058	GCF_900141385.1	4232388	
GCA_900132955.1	4210298	GCF_900132955.1	4234388	
GCA_900130985.1	3873918	GCF_900130985.1	3895498	
GCA_900135545.1	4205218	GCF_900135545.1	4237308	
GCA_900136935.1	3873998	GCF_900136935.1	3896118	
GCA_004025145.1	8248208	GCF_004025145.1	8255148	
GCA_900133495.1	3874478	GCF_900133495.1	3896158	
GCA_900137685.1	3877278	GCF_900137685.1	3899198	
GCA_900133535.1	4205038	GCF_900133535.1	4228248	
GCA_900132945.1	4216058	GCF_900132945.1	4232068	
GCA_900134195.1	3873958	GCF_900134195.1	3895758	
GCA_002800125.1	5687448	GCF_002800125.1	5695428	
GCA_900131785.1	3874218	GCF_900131785.1	3895738	
GCA_900135785.1	3874778	GCF_900135785.1	3898938	
GCA_900134255.1	3874758	GCF_900134255.1	3897538	
GCA_017175855.1	25340788	GCF_017175855.1	25444788	
GCA_900135875.1	4215718	GCF_900135875.1	4237948	
GCA_017176075.1	25341018	GCF_017176075.1	25445348	
GCA_900136575.1	3871418	GCF_900136575.1	3894258	
GCA_900135975.1	4212578	GCF_900135975.1	4229128	
GCA_900141455.1	4215638	GCF_900141455.1	4231848	
GCA_900130235.1	4213158	GCF_900130235.1	4231008	
GCA_900135725.1	3874578	GCF_900135725.1	3899098	
GCA_900134175.1	3874318	GCF_900134175.1	3897558	
GCA_003861345.1	7984338	GCF_003861345.1	8055678	
GCA_900137955.1	3871918	GCF_900137955.1	3894358	
GCA_900134565.1	4208038	GCF_900134565.1	4240008	
GCA_900136795.1	3870118	GCF_900136795.1	3892878	
GCA_900137095.1	4214798	GCF_900137095.1	4237608	
GCA_900136815.1	4205378	GCF_900136815.1	4235488	
GCA_017175835.1	25340768	GCF_017175835.1	25444988	
GCA_900137605.1	3877058	GCF_900137605.1	3896978	
GCA_900134205.1	3874358	GCF_900134205.1	3898578	
GCA_900132535.1	4214358	GCF_900132535.1	4241708	
GCA_900130965.1	3873878	GCF_900130965.1	3895698	
GCA_017175975.1	25340908	GCF_017175975.1	25446308	
GCA_900134305.1	4214878	GCF_900134305.1	4230268	
GCA_900132525.1	3874718	GCF_900132525.1	3896278	
GCA_900141465.1	4210158	GCF_900141465.1	4228768	
GCA_900141375.1	4205978	GCF_900141375.1	4231388	
GCA_017175995.1	25340928	GCF_017175995.1	25443348	
GCA_900137525.1	3876858	GCF_900137525.1	3897578	
GCA_017175905.1	25340848	GCF_017175905.1	25444568	
GCA_900137335.1	4217118	GCF_900137335.1	4240788	
GCA_900134235.1	4215658	GCF_900134235.1	4241808	
GCA_900141365.1	4206438	GCF_900141365.1	4237748	
GCA_900137085.1	4206958	GCF_900137085.1	4237908	
GCA_900134385.1	3878038	GCF_900134385.1	3899458	
GCA_900135705.1	3874498	GCF_900135705.1	3897618	
GCA_017175815.1	25340748	GCF_017175815.1	25444378	
GCA_900130705.1	3874178	GCF_900130705.1	3895558	
GCA_900141565.1	3877838	GCF_900141565.1	3898638	
GCA_900134265.1	3875098	GCF_900134265.1	3897818	
GCA_900135845.1	3874378	GCF_900135845.1	3896418	
GCA_900132975.1	4207258	GCF_900132975.1	4232108	
GCA_900132965.1	4209958	GCF_900132965.1	4228688	
GCA_900137845.1	3877798	GCF_900137845.1	3898718	
GCA_017176095.1	25341058	GCF_017176095.1	25446628	
GCA_900134115.1	4211598	GCF_900134115.1	4229828	
GCA_900132485.1	3874698	GCF_900132485.1	3899258	
GCA_900138055.1	4217378	GCF_900138055.1	4232428	
GCA_017175135.1	25339998	GCF_017175135.1	25447848	
GCA_017176025.1	25340978	GCF_017176025.1	25443568	
GCA_900138125.1	4213458	GCF_900138125.1	4231088	
GCA_900135275.1	3867198	GCF_900135275.1	3890738	
GCA_900140535.1	3873058	GCF_900140535.1	3897738	
GCA_016758425.1	24735378	GCF_016758425.1	24759998	
GCA_017175895.1	25340838	GCF_017175895.1	25446028	
GCA_002802215.1	5689518	GCF_002802215.1	5693488	
GCA_005281705.1	9896298	GCF_005281705.1	9986118	
GCA_017175175.1	25340028	GCF_017175175.1	25439728	
GCA_900140055.1	3872578	GCF_900140055.1	3953418	
GCA_900132765.1	4210138	GCF_900132765.1	4232288	
GCA_900132345.1	3866498	GCF_900132345.1	3889958	
GCA_900140175.1	4206938	GCF_900140175.1	4240568	
GCA_900134785.1	4205698	GCF_900134785.1	4240848	
GCA_900140215.1	4208078	GCF_900140215.1	4237768	
GCA_900132715.1	4213778	GCF_900132715.1	4240208	
GCA_900130615.1	4208498	GCF_900130615.1	4237968	
GCA_900139545.1	3869318	GCF_900139545.1	3892758	
GCA_900139635.1	4215838	GCF_900139635.1	4232888	
GCA_900140135.1	4205298	GCF_900140135.1	4240808	
GCA_900132355.1	4216018	GCF_900132355.1	4231288	
GCA_900132745.1	4216198	GCF_900132745.1	4231748	
GCA_900132145.1	3870778	GCF_900132145.1	3892838	
GCA_900131095.1	4214738	GCF_900131095.1	4233848	
GCA_900130515.1	4205918	GCF_900130515.1	4240508	
GCA_900131565.1	4212658	GCF_900131565.1	4239928	
GCA_900131125.1	4209238	GCF_900131125.1	4232168	
GCA_900131215.1	4208598	GCF_900131215.1	4238008	
GCA_900131255.1	3866218	GCF_900131255.1	3889198	
GCA_900131885.1	3866418	GCF_900131885.1	3889238	
GCA_900135235.1	3868378	GCF_900135235.1	3891238	
GCA_900139995.1	3872238	GCF_900139995.1	3952938	
GCA_900132285.1	4216598	GCF_900132285.1	4231948	
GCA_900134905.1	4212418	GCF_900134905.1	4233368	
GCA_900133045.1	3875278	GCF_900133045.1	3898318	
GCA_900137535.1	4214278	GCF_900137535.1	4231488	
GCA_900133785.1	4208718	GCF_900133785.1	4232048	
GCA_015499665.1	23215118	GCF_015499665.1	23257978	
GCA_900139985.1	4214218	GCF_900139985.1	4232788	
GCA_900132785.1	4215798	GCF_900132785.1	4231708	
GCA_900134755.1	4295268	GCF_900134755.1	4307848	
GCA_900134925.1	4214778	GCF_900134925.1	4231648	
GCA_900134915.1	3871278	GCF_900134915.1	3893318	
GCA_900133335.1	4204718	GCF_900133335.1	4240368	
GCA_900134535.1	3875678	GCF_900134535.1	3897798	
GCA_900131135.1	4216658	GCF_900131135.1	4232948	
GCA_900135225.1	3869758	GCF_900135225.1	3893258	
GCA_900130815.1	4205858	GCF_900130815.1	4237228	
GCA_900137935.1	4210558	GCF_900137935.1	4232448	
GCA_900134335.1	4295088	GCF_900134335.1	4306348	
GCA_900130485.1	4207678	GCF_900130485.1	4237528	
GCA_900131555.1	4207378	GCF_900131555.1	4237428	
GCA_900136655.1	4211178	GCF_900136655.1	4232548	
GCA_900133635.1	4208878	GCF_900133635.1	4240628	
GCA_900133625.1	4212458	GCF_900133625.1	4239848	
GCA_900131295.1	4208438	GCF_900131295.1	4233128	
GCA_900131105.1	4215618	GCF_900131105.1	4231248	
GCA_900141605.1	4213438	GCF_900141605.1	4233528	
GCA_900138865.1	4209418	GCF_900138865.1	4238588	
GCA_900139385.1	4210258	GCF_900139385.1	4232368	
GCA_900133055.1	3875318	GCF_900133055.1	3897098	
GCA_900132305.1	4211838	GCF_900132305.1	4240768	
GCA_900132055.1	4214038	GCF_900132055.1	4233688	
GCA_900134995.1	3866898	GCF_900134995.1	3891198	
GCA_900130735.1	4213298	GCF_900130735.1	4232668	
GCA_900136235.1	4209818	GCF_900136235.1	4238808	
GCA_015499625.1	23215088	GCF_015499625.1	23258558	
GCA_900140205.1	3872318	GCF_900140205.1	3894718	
GCA_900133925.1	4208838	GCF_900133925.1	4232088	
GCA_900133415.1	4216418	GCF_900133415.1	4231408	
GCA_900131955.1	4215098	GCF_900131955.1	4240288	
GCA_900132405.1	3866518	GCF_900132405.1	3889438	
GCA_900140075.1	4209638	GCF_900140075.1	4232228	
GCA_900134285.1	3875018	GCF_900134285.1	3897638	
GCA_900132455.1	4209478	GCF_900132455.1	4240668	
GCA_900130295.1	4205358	GCF_900130295.1	4237188	
GCA_900131745.1	3870678	GCF_900131745.1	3892918	
GCA_900131035.1	3867938	GCF_900131035.1	3890238	
GCA_900141195.1	4216398	GCF_900141195.1	4231868	
GCA_900136205.1	4210538	GCF_900136205.1	4239648	
GCA_900134275.1	3874998	GCF_900134275.1	3897758	
GCA_900132985.1	3874978	GCF_900132985.1	3896438	
GCA_900135035.1	3866818	GCF_900135035.1	3891278	
GCA_015499585.1	23215048	GCF_015499585.1	23258338	
GCA_900133105.1	4208618	GCF_900133105.1	4232008	
GCA_900137885.1	4212918	GCF_900137885.1	4233468	
GCA_900134425.1	4208638	GCF_900134425.1	4233188	
GCA_015499615.1	23215078	GCF_015499615.1	23257698	
GCA_900137135.1	4209218	GCF_900137135.1	4238488	
GCA_900135895.1	4211118	GCF_900135895.1	4240728	
GCA_900134295.1	3875058	GCF_900134295.1	3896298	
GCA_900134845.1	3866858	GCF_900134845.1	3891638	
GCA_900137855.1	3876538	GCF_900137855.1	3898138	
GCA_900137195.1	4216218	GCF_900137195.1	4231368	
GCA_900135995.1	3875838	GCF_900135995.1	3897998	
GCA_900133795.1	4207838	GCF_900133795.1	4233068	
GCA_900135885.1	4212278	GCF_900135885.1	4232608	
GCA_900131835.1	4213718	GCF_900131835.1	4232728	
GCA_900134105.1	4209558	GCF_900134105.1	4233248	
GCA_900131795.1	4206118	GCF_900131795.1	4233028	
GCA_900132465.1	4212858	GCF_900132465.1	4240048	
GCA_900132165.1	4215958	GCF_900132165.1	4234048	
GCA_900130995.1	4209658	GCF_900130995.1	4233308	
GCA_900130975.1	4205518	GCF_900130975.1	4240428	
GCA_900131775.1	4213678	GCF_900131775.1	4240128	
GCA_900131455.1	4212518	GCF_900131455.1	4233408	
GCA_900141415.1	3875258	GCF_900141415.1	3897138	
GCA_001792645.1	3548938	GCF_001792645.1	3572018	
GCA_000524075.1	897538	GCF_000524075.1	1354908	
GCA_000715335.1	1153968	GCF_000715335.1	1162008	
GCA_000523915.1	897378	GCF_000523915.1	1354968	
GCA_000271285.1	390278	GCF_000271285.1	489668	
GCA_000271045.1	390038	GCF_000271045.1	489548	
GCA_000523935.1	897398	GCF_000523935.1	1355008	
GCA_000271205.1	390198	GCF_000271205.1	489428	
GCA_000270985.1	389978	GCF_000270985.1	489568	
GCA_000271025.1	390018	GCF_000271025.1	489528	
GCA_000270745.2	2483488	GCF_000270745.2	2483508	
GCA_000271005.1	389998	GCF_000271005.1	489508	
GCA_000523735.1	897198	GCF_000523735.1	1354928	
GCA_000271245.1	390238	GCF_000271245.1	489388	
GCA_000271225.1	390218	GCF_000271225.1	489448	
GCA_000271085.1	390078	GCF_000271085.1	489488	
GCA_000270625.1	389618	GCF_000270625.1	490088	
GCA_000523955.1	897418	GCF_000523955.1	1355028	
GCA_000270765.1	389758	GCF_000270765.1	489888	
GCA_000271165.1	390158	GCF_000271165.1	489648	
GCA_000271265.1	390258	GCF_000271265.1	489408	
GCA_000271185.1	390178	GCF_000271185.1	489608	
GCA_000270685.2	2483448	GCF_000270685.2	2483468	
GCA_000308015.1	450118	GCF_000308015.1	489708	
GCA_000270725.1	389718	GCF_000270725.1	490048	
GCA_000270865.1	389858	GCF_000270865.1	489588	
GCA_000231155.2	334388	GCF_000231155.1	471368	
GCA_000271125.1	390118	GCF_000271125.1	489368	
GCA_000271065.1	390058	GCF_000271065.1	489468	
GCA_000270905.1	389898	GCF_000270905.1	489728	
GCA_000270605.1	389598	GCF_000270605.1	489848	
GCA_000270945.1	389938	GCF_000270945.1	489748	
GCA_000271145.1	390138	GCF_000271145.1	489628	
GCA_000271105.1	390098	GCF_000271105.1	489788	
GCA_000270705.1	389698	GCF_000270705.1	490008	
GCA_000261125.1	377058	GCF_000261125.1	616878	
GCA_000261085.1	377018	GCF_000261085.1	616838	
GCA_000270785.1	389778	GCF_000270785.1	489928	
GCA_000270805.1	389798	GCF_000270805.1	489908	
GCA_000270925.1	389918	GCF_000270925.1	489768	
GCA_000270885.1	389878	GCF_000270885.1	489688	
GCA_000270565.1	389558	GCF_000270565.1	490028	
GCA_000270825.1	389818	GCF_000270825.1	489948	
GCA_000270585.1	389578	GCF_000270585.1	489988	
GCA_000270965.1	389958	GCF_000270965.1	489808	
GCA_000270645.1	389638	GCF_000270645.1	489828	
GCA_000363915.2	784808	GCF_000363915.2	1662768	
GCA_000280595.1	401568	GCF_000280595.1	620958	
GCA_000257225.2	2481718	GCF_000257225.2	2481738	
GCA_000280615.1	401588	GCF_000280615.1	620978	
GCA_000260595.1	374578	GCF_000260595.1	616358	
GCA_000260575.2	2481838	GCF_000260575.2	2481858	
GCA_000270845.1	389838	GCF_000270845.1	489968	
GCA_000418575.1	726458	GCF_000418575.1	727528	
GCA_000280635.2	2484768	GCF_000280635.2	2484788	
GCA_000332605.1	527128	GCF_000332605.1	624268	
GCA_000260615.2	746108	GCF_000260615.2	857748	
GCA_000333695.1	528738	GCF_000333695.1	641618	
GCA_000257245.2	2481758	GCF_000257245.2	2481778	
GCA_000443145.1	750488	GCF_000443145.1	800768	
GCA_000261105.1	377038	GCF_000261105.1	616858	
GCA_001215825.1	2061738	GCF_001215825.1	2246608	
GCA_001214905.1	2060818	GCF_001214905.1	2245028	
GCA_001214385.1	2060298	GCF_001214385.1	2245508	
GCA_001216105.1	2062018	GCF_001216105.1	2245768	
GCA_001215125.1	2061038	GCF_001215125.1	2294258	
GCA_001214245.1	2060158	GCF_001214245.1	2243388	
GCA_001213925.1	2059838	GCF_001213925.1	2244808	
GCA_900136735.1	6650698	N/A	N/A	
GCA_900132645.1	6650778	N/A	N/A	
GCA_900130405.1	6650718	N/A	N/A	
GCA_900130455.1	6650658	N/A	N/A	
GCA_900135285.1	6650678	N/A	N/A	
GCA_900139575.1	3867718	GCF_900139575.1	3891918	
GCA_900134415.1	6650898	N/A	N/A	
GCA_900135715.1	3874518	GCF_900135715.1	3897698	
GCA_900132095.1	3870758	GCF_900132095.1	3893918	
GCA_900139665.1	3865998	N/A	N/A	
GCA_900135865.1	6650858	N/A	N/A	
GCA_900136335.1	4212938	N/A	N/A	
GCA_900132565.1	3875138	N/A	N/A	
GCA_900139595.1	6650638	N/A	N/A	
GCA_000523855.1	897318	N/A	N/A	
GCA_000523835.1	897298	GCF_000523835.1	1091218	
GCA_000523575.1	897038	GCF_000523575.1	1575658	
GCA_000523775.1	897238	GCF_000523775.1	1091388	
GCA_000500165.1	863668	GCF_000500165.1	863898	
GCA_000500185.1	863688	GCF_000500185.1	864078	
GCA_000523875.1	897338	N/A	N/A	
GCA_000280655.1	401628	GCF_000280655.1	621018	
